Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
N60-N64 Disorders of breast,25211,3294,4201,20120,86.0,43.0,2.0,2.0,42,415,21463,3018.0,839,10346,29743.0,2006
N70-N77 Inflammatory diseases of female pelvic organs,24520,0,11370,12336,80.0,60.0,2.5,1.0,37,436,23334,1165.0,705,7730,43653.0,2006
N80-N98 Noninflammatory disorders of female genital tract,262982,0,33156,211464,78.0,55.0,2.8,2.0,45,1435,213164,32421.0,12929,144980,329122.0,2006
N99 Other disorders of the genitourinary system,3161,964,695,2263,103.0,85.0,5.7,3.0,56,207,1498,1280.0,498,603,13765.0,2006
O00-O08 Pregnancy with abortive outcome,166568,0,65774,76093,7.0,5.0,1.0,1.0,30,585,153367,3.0,4270,78209,90119.0,2006
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",1037043,0,81356,19853,12.0,3.0,1.7,1.0,28,534,1060091,13.0,86,18466,1733899.0,2006
O80-O84 Delivery,105086,0,508,677,45.0,3.0,1.7,1.0,28,40,105511,0.0,5,6,178834.0,2006
P00-P04 Complications of fetus/neonate affected by maternal,5068,3139,159,10,22.0,22.0,3.7,2.0,0,6009,11,0.0,1,6,16975.0,2006
P05-P96 Other conditions originating in the perinatal period,161552,105359,22763,2128,69.0,44.0,6.5,3.0,0,190715,137,0.0,7,1722,1057816.0,2006
Q00-Q89 Congenital malformations,100461,62701,9770,57748,104.0,80.0,4.2,2.0,11,82788,22577,2688.0,1357,31361,287263.0,2006
Q90-Q99 Chromosomal abnormalities nec.,1432,922,244,433,69.0,28.0,15.9,3.0,11,1259,377,18.0,4,400,13332.0,2006
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,387367,234251,335226,39533,72.0,49.0,2.2,1.0,56,32143,202319,116974.0,102674,34399,742624.0,2006
R10-R19 Symptoms & signs inv. the digestive system & abdomen,379212,151994,262171,77031,57.0,36.0,2.8,1.0,45,40530,254007,70886.0,59568,91331,790140.0,2006
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,36208,18195,26654,7595,71.0,43.0,1.6,1.0,35,13090,16470,5260.0,4023,6010,47931.0,2006
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,20340,11333,11516,3271,46.0,28.0,8.6,2.0,49,6517,6235,3623.0,8342,2607,144409.0,2006
R30-R39 Symptoms & signs involving the urinary system,132825,100082,39947,70320,53.0,33.0,4.1,2.0,63,2811,49554,45069.0,46446,79752,212178.0,2006
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",44681,26607,40922,1694,47.0,28.0,8.2,2.0,70,1340,12957,12660.0,32311,1142,324003.0,2006
R47-R49 Symptoms & signs inv. speech & voice,6547,3775,3118,2638,46.0,29.0,5.6,1.0,63,269,2683,2248.0,2526,1769,24540.0,2006
R50-R68 General symptoms & signs,279137,155977,237580,25842,42.0,21.0,5.1,1.0,55,49497,111096,53686.0,127029,22081,1265097.0,2006
R69 Unknown & unspecified causes of morbidity,166837,85280,75997,40728,63.0,25.0,20.5,2.0,52,20593,80601,36020.0,52659,26070,2344568.0,2006
R70-R89 Abnormal findings of bodily fluids or samples without diag.,31089,15530,5579,18071,36.0,27.0,3.0,1.0,53,724,17434,9449.0,5148,22060,27917.0,2006
R90-R94 Abnormal findings on diagnostic imaging/function studies,21725,12917,3875,12472,27.0,10.0,4.5,2.0,60,765,9060,8687.0,5876,13397,38107.0,2006
R95-R99 Ill-defined & unknown causes of mortality,13,11,12,1,51.0,51.0,1.3,0.0,42,6,1,2.0,5,1,12.0,2006
S00-S09 Injuries to the head,149688,106993,129048,14701,17.0,5.0,3.2,1.0,40,34480,83571,12759.0,32932,10293,435722.0,2006
S10-S19 Injuries to the neck,7775,5498,6768,312,51.0,28.0,10.9,2.0,44,620,5902,1038.0,1496,105,82465.0,2006
S20-S29 Injuries to the thorax,15098,12013,14231,183,40.0,12.0,8.1,3.0,55,493,9857,3188.0,5489,36,123550.0,2006
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",28423,16082,25418,561,50.0,25.0,10.9,4.0,56,2866,14791,3826.0,14581,183,309556.0,2006
S40-S49 Injuries to the shoulder & upper arm,35166,19110,30758,2471,32.0,6.0,7.0,2.0,54,6243,13829,6045.0,15287,256,245363.0,2006
S50-S59 Injuries to the elbow & forearm,66274,36252,59205,4323,14.0,2.0,3.2,1.0,40,22317,27577,8703.0,13332,1288,210902.0,2006
S60-S69 Injuries to the wrist & hand,73981,56879,59842,8294,24.0,3.0,1.5,1.0,35,10274,56875,5155.0,4637,4481,103555.0,2006
S70-S79 Injuries to the hip & thigh,83548,31239,73231,1652,44.0,15.0,22.8,15.0,77,2968,9697,15095.0,81851,99,1901520.0,2006
S80-S89 Injuries to the knee & lower leg,69527,40998,61065,4963,58.0,17.0,8.1,3.0,48,7720,42733,11149.0,17574,1840,547179.0,2006
S90-S99 Injuries to the ankle & foot,14716,9485,13159,896,43.0,8.0,4.8,2.0,43,2087,9790,1992.0,2652,379,67953.0,2006
T00-T07 Injuries involving multiple body regions,1993,1248,1815,43,23.0,4.0,9.3,2.0,47,279,1205,273.0,576,5,16951.0,2006
T08-T14 Injuries to unspecified part of trunk limb or body,5985,3202,5316,340,55.0,23.0,5.5,1.0,52,794,2959,775.0,2267,209,32595.0,2006
T15-T19 Effects of foreign body entering through natural orifice,12669,7715,9575,2570,15.0,6.0,1.2,1.0,28,6385,4877,1255.0,1113,2241,11893.0,2006
T20-T32 Burns and corrosions,9923,6728,7585,392,22.0,5.0,5.3,1.0,29,4177,4748,772.0,874,93,52969.0,2006
T33-T35 Frostbite,50,49,36,10,19.0,14.0,7.0,2.0,42,2,48,8.0,3,2,415.0,2006
T36-T50 Poisonings by drugs medicaments & biological substances,107543,50718,106468,188,38.0,21.0,1.5,1.0,35,8836,104746,5717.0,4580,47,165315.0,2006
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,7461,4538,6648,139,157.0,166.0,1.7,0.0,36,1828,5034,781.0,689,687,11591.0,2006
T66-T78 Other and unspecified effects of external causes,11733,6214,10384,497,57.0,10.0,1.9,1.0,38,3163,6663,1539.0,1476,1046,20372.0,2006
T79 Certain early complications of trauma,2387,2002,1919,299,82.0,50.0,6.5,3.0,43,236,1958,358.0,379,98,15395.0,2006
T80-T88 Complications of surgical & medical care nec.,132031,78549,77247,43202,84.0,49.0,8.0,3.0,57,8275,65722,43001.0,38500,14194,941585.0,2006
T90-T98 Sequelae of injuriesof poisoning & other consequences,333,200,78,219,109.0,90.0,9.5,2.0,47,22,235,39.0,46,109,2335.0,2006
Z00-Z13 Examination and investigation,227135,126201,24012,80904,92.0,50.0,2.0,0.0,54,24171,89112,66237.0,51635,170584,103815.0,2006
Z20-Z29 Potential health hazards related to communicable diseases,3583,2160,274,1644,25.0,8.0,1.8,1.0,24,2334,636,460.0,416,2396,2430.0,2006
Z30-Z39 Health services in circumstances related to reproduction,645086,238099,9310,56089,85.0,68.0,1.3,1.0,10,435412,216802,137.0,38,60505,774076.0,2006
Z40-Z54 Persons encountering health services for specific care,126768,71874,10226,80576,74.0,40.0,6.4,1.0,51,14238,59192,29722.0,26975,58977,409208.0,2006
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,603,263,339,158,84.0,5.0,25.0,2.0,29,262,297,22.0,79,117,9083.0,2006
Z70-Z76 Persons encountering health services in other circs.,44995,26589,9477,10322,68.0,15.0,7.0,3.0,31,23991,15492,4787.0,8432,2903,324179.0,2006
Z80-Z99 Persons with potential health hazards related to family,7862,4066,517,3413,82.0,39.0,8.9,2.0,51,822,3762,1994.0,1422,5627,19822.0,2006
A00-A09 Intestinal infectious diseases,37412,19898,32631,3743,53.6,39.0,3.4,1.0,20,24759,7944,3396.0,4161,3918,112116.51466849317,1999
A15-A19 Tuberculosis,3755,2823,2328,991,22.6,7.0,18.3,10.0,43,356,3128,947.0,569,401,55434.85421383561,1999
A20-A49 Certain bacterial diseases,17473,11166,15248,603,26.6,8.0,12.6,6.0,46,5822,5158,4577.0,6992,351,201156.1715456164,1999
A50-A64 Infections with predominantly sexual mode of transmission,3454,1309,609,2469,78.1,45.0,3.3,2.0,35,120,2884,175.0,123,2140,4254.784149863014,1999
A65-A79 Other infectious and parasitic disorders,211,96,134,48,43.0,33.0,21.5,3.0,37,36,148,33.0,14,47,1145.0207083561645,1999
A80-A89 Viral infections of the central nervous system,2145,1158,1935,67,28.1,11.0,7.9,4.0,29,427,1958,147.0,63,49,16868.237285342464,1999
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,27,21,24,0,,,3.4,3.0,40,1,25,2.0,0,0,94.43265753424657,1999
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,11718,5985,7039,3962,61.0,36.0,5.5,2.0,34,4533,4425,1489.0,1983,3843,42710.60291178082,1999
B15-B19 Viral hepatitis,4461,3328,1323,2364,45.9,31.0,4.3,1.0,40,282,4110,423.0,75,1303,13658.401778082192,1999
B20-B24 Human imrnunodeficiency virus [HIV] disease,4385,4006,1772,1296,9.8,1.0,12.1,6.0,38,112,3982,153.0,27,1715,31159.108109589044,1999
B25-B34 Other viral diseases,36973,20538,36004,490,25.9,3.0,1.7,1.0,12,26726,9802,1118.0,884,398,61363.34518356164,1999
B35-B49 Mycoses,2931,1561,1448,1050,41.9,24.0,7.0,2.0,44,626,1419,737.0,637,1021,13217.084364246575,1999
B50-B64 Protozoal diseases,2473,1760,2155,169,25.7,7.0,4.6,3.0,34,349,2225,189.0,16,146,10698.059572602739,1999
B65-B83 Helminthiases,442,205,251,153,46.4,22.0,4.4,3.0,28,165,251,40.0,13,103,1513.5271558904112,1999
B85-B99 Other infectious and parasitic diseases,1163,614,885,159,43.5,23.0,7.3,3.0,33,516,364,169.0,277,170,7204.080147945205,1999
C00-C14 Malignant neoplasm of liporal cavity and pharynx,13458,9840,1667,6458,18.0,10.0,10.1,4.0,59,243,6922,5146.0,2283,5298,80186.44656534247,1999
C15-C26 Malignant neoplasm of digestive organs,223003,147269,31146,86252,15.8,7.0,11.5,8.0,65,299,69515,118257.0,58198,133328,1022850.5365972603,1999
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,76951,56244,22551,27825,13.2,7.0,9.6,5.0,66,190,22476,43388.0,22274,30130,448275.72271780827,1999
C40-C41 Malignant neoplasm of bone and articular cartilage,5033,2908,904,1927,13.8,6.0,7.2,4.0,27,1533,3112,409.0,224,1263,26198.51813383562,1999
C43-C44 Malignant neoplasms of skin,57582,30971,1179,50031,43.1,30.0,4.9,2.0,69,70,13074,19642.0,25249,44359,62856.37292547946,1999
C45-C49 Malignant neoplasms of mesothelial and soft tissue,11136,7389,2346,4243,16.9,7.0,7.9,4.0,50,1588,4921,3620.0,1782,4026,55310.932454794514,1999
C50 Malignant neoplasm of breast,134146,751,7621,55057,16.3,12.0,6.8,4.0,55,1,90179,34479.0,11444,90155,288171.12297780823,1999
C51-C58 Malignant neoplasms of female genital organs,52287,8,6907,22920,17.0,11.0,7.7,4.0,60,110,24413,21135.0,8973,23790,215879.22467808222,1999
C60-C63 Malignant neoplasms of male genital organs,41297,44233,8411,18585,37.9,23.0,8.6,5.0,66,199,9256,18896.0,15921,17705,199121.2601239726,1999
C64-C68 Malignant neoplasms of urinary tract,89679,68331,7187,47682,46.2,27.0,6.7,3.0,69,1462,14019,41215.0,37001,44952,287452.53374767123,1999
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",15669,9809,4660,4052,21.5,11.0,11.9,6.0,40,4626,7401,4083.0,1401,5650,116003.08946849314,1999
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",197224,119517,25700,78231,8.8,3.0,9.5,4.0,52,23212,89225,64027.0,29297,143880,492379.8721868493,1999
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",80404,38344,23598,24806,16.7,8.0,9.9,5.0,60,2641,33398,34697.0,19004,30783,490656.9976089041,1999
D00-D48 In situ & benign neoplasms and others of uncertainty,276118,114243,14865,218690,72.3,39.0,5.2,3.0,53,10774,152591,70289.0,50302,188167,452761.8815550685,1999
D50-D64 Anaemias,96666,46583,32664,41480,30.2,15.0,7.1,3.0,57,8353,37512,26542.0,40371,49796,323386.4351052055,1999
D65-D89 Diseases of the blood and blood-forming organs,46637,26921,13992,18254,14.8,7.0,5.2,3.0,41,11790,22014,10137.0,5018,27457,97499.7087630137,1999
E00-E07 Disorders of thyroid gland,10311,2056,2115,7194,93.7,55.0,6.3,4.0,51,341,6699,2353.0,1742,1494,54633.7039339726,1999
E10-E14 Diabetes Mellitus,61577,39385,30330,24276,39.9,25.0,10.1,4.0,54,5116,30622,23089.0,13392,25339,354280.2881561644,1999
E15-E90 Endocrine nutritional and metabolic diseases,57059,29649,24293,21174,52.1,17.0,8.8,4.0,45,11277,28234,11942.0,12104,21780,297801.57139520545,1999
F00-F03 Dementia,25255,11688,13816,2791,19.6,3.0,72.7,24.0,80,8,655,5858.0,23106,86,1100293.8863671233,1999
F04-F09 Other organic including symptomatic mental disorders,4020,2242,3118,258,13.2,1.0,47.0,15.0,69,30,1193,885.0,2746,31,116154.478369863,1999
F10-F19 Mental and behavioural disorders due to psychoactive subst.,38605,29207,29537,5528,33.3,13.0,11.3,5.0,38,2170,35942,3156.0,996,156,408476.8180873973,1999
"F20-F29 Schizophrenia, schizotypal and delusional disorders",32582,21831,25091,1603,19.7,2.0,105.4,31.0,41,65,31000,3840.0,1859,48,1898640.0367287672,1999
F30-F39 Mood [affective] disorders,49884,20388,38184,2954,17.8,3.0,45.4,25.0,52,174,34461,10490.0,9342,1164,1864203.0898150683,1999
"F40-F69 Neurotic, bahavioural & personality disorders",28141,13002,19714,3911,67.8,34.0,26.9,8.0,42,746,23760,3460.0,2426,2484,576786.2616210958,1999
F70-F79 Mental retardation,18645,10619,1960,7018,9.4,1.0,97.5,3.0,22,6977,12142,200.0,48,544,252674.21260273972,1999
F80-F99 Other mental and behavioural disorders,12185,7074,4735,2680,36.4,8.0,47.9,6.0,36,3339,6486,1145.0,1866,847,293616.6099975343,1999
G00-G09 Inflammatory diseases of the central nervous system,3626,2387,2508,349,36.2,14.0,13.7,8.0,29,1545,2097,625.0,228,205,46027.27191972603,1999
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11936,7548,5541,4601,44.9,23.0,24.2,13.0,67,340,2887,4818.0,6396,2854,205023.92703013698,1999
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",13073,6714,6576,2767,26.3,12.0,56.7,15.0,72,389,2077,4109.0,9028,527,434344.95652027393,1999
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16361,5528,3967,7869,26.4,11.0,14.2,5.0,45,81,15382,2037.0,335,6172,120100.37440999999,1999
G40-G47 Epilepsy migraine & other episodic disorders,125557,63967,56982,59798,108.0,67.0,4.7,2.0,50,12966,73007,27076.0,24588,40789,384739.09150136984,1999
"G50-G73, G90-G99 Other diseases & disorders of the nervous syst.",19480,11690,6602,8184,44.9,23.0,14.4,5.0,47,2741,11251,5484.0,3098,4074,200667.4894278082,1999
G80-G83 Cerebral palsy & other paralytic syndromes,13402,9772,5341,4193,78.7,38.0,33.4,12.0,47,3323,5027,4316.0,5715,2359,347584.43057753425,1999
H10-H13 Disorders of conjunctiva (including conjunctivitis),4297,2273,1033,3109,126.9,78.0,2.1,1.0,45,733,2197,930.0,479,2780,3075.2365906849313,1999
H25-H28 Disorders of lens (including cataracts),229730,83131,1121,221207,193.2,167.0,1.8,1.0,75,505,19066,71195.0,139303,181943,60421.67460246575,1999
H40-H42 Glaucoma,15979,7362,2541,12815,53.5,36.0,2.0,1.0,68,169,3571,6300.0,6077,9148,13779.313843561644,1999
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",112419,54114,17816,89992,95.4,55.0,2.5,1.0,52,16675,42453,28260.0,26153,71629,98363.6101709589,1999
H60-H95 Diseases of the ear and mastoid process,90843,49204,12351,77033,103.7,63.0,1.8,1.0,23,53394,28026,7166.0,3370,50347,72218.80683452054,1999
I00-I09 Rheumatic heart disease,4324,1907,1013,2866,105.0,57.0,11.0,8.0,64,73,1466,2585.0,1155,1278,34245.229920000005,1999
I10-I15 Hypertensive diseases,18574,11254,8004,4505,25.5,8.0,6.9,3.0,62,273,7863,7533.0,5967,5043,86066.47582547944,1999
I20-I25 Ischaemic heart diseases,288937,234403,189160,80270,111.6,67.0,6.7,5.0,66,26,103162,159508.0,101370,41961,1648973.1389849314,1999
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,17122,9697,14958,922,32.4,9.0,10.4,8.0,63,121,7861,7612.0,7276,692,174383.7560969863,1999
I30-I52 Other forms of heart disease,200346,137497,149237,36428,72.2,38.0,9.7,6.0,70,2010,43787,87047.0,126926,19312,1722981.7289835615,1999
I60-I69 Cerebrovascular diseases,101913,68012,81819,7481,34.1,20.0,25.1,11.0,73,430,20385,45239.0,78104,884,2326501.1784821916,1999
"I70-I79 Diseases of arteries, arterioles & capillaries",65278,47658,19087,39711,44.9,25.0,10.1,4.0,68,390,15907,32318.0,27741,8989,546965.385170411,1999
I80-I89 Diseases of veins & lymphatic system nec.,141784,68326,37131,96346,159.3,91.0,4.5,2.0,52,3146,93044,36472.0,19406,64355,342820.98910219176,1999
I95-I99 Other & unspecified disorders of the circulatory system,8451,4826,6593,1072,28.9,13.0,11.3,6.0,73,72,1450,2856.0,6642,955,84046.89653260272,1999
J00-J06 Acute upper respiratory infections,82157,47436,75258,5836,166.0,113.0,1.4,1.0,9,66379,14344,1696.0,1895,827,112789.40676452055,1999
J10-J18 Influenza & pneumonia,81575,55224,75987,1745,10.8,4.0,12.6,6.0,62,11492,19260,22701.0,54708,906,938967.7207902741,1999
J20-J22 Other acute lower respiratory infections,104328,61717,98908,1646,19.0,4.0,8.4,4.0,48,33736,21277,22598.0,49307,572,841477.2139726027,1999
J30-J39 Other diseases of upper respiratory tract,140569,74486,9732,128020,163.3,108.0,1.5,1.0,29,45036,81318,11745.0,3373,23288,165902.6582320548,1999
J40-J47 Chronic lower respiratory diseases,173911,111396,161786,5917,25.4,7.0,7.5,5.0,54,30679,53259,72387.0,65371,3679,1270761.693139726,1999
J60-J70 Lung diseases due to external agents,3445,3143,2943,224,15.0,7.0,15.5,9.0,66,204,1144,1299.0,2416,123,51935.63480780822,1999
J80-J99 Other diseases of the respiratory system,42254,32027,27314,8899,20.4,7.0,10.1,6.0,60,2477,17354,17850.0,16369,5133,371288.59634589043,1999
"K00-K14 Diseases of oral cavity, salivary glands & jaws",176894,78283,7310,163798,95.1,53.0,1.7,1.0,30,45696,113822,13239.0,5292,139719,58088.164185205474,1999
K20-K31 Diseases of oesophagusstomach & duodenum,289956,179015,45889,200985,51.3,35.0,7.1,3.0,57,7274,156979,102562.0,72218,229079,477126.11886986304,1999
K35-K38 Diseases of appendix,35820,21003,34689,801,66.8,42.0,4.2,3.0,28,10122,25476,1905.0,738,28,153063.67613643836,1999
K40-K46 Hernia,152285,108410,15907,129130,126.7,72.0,3.2,2.0,54,13697,68294,47217.0,28240,75834,240246.60395890407,1999
K50-K52 Noninfective enteritis & colitis,101554,51197,53104,37975,56.4,35.0,6.3,2.0,41,21140,58457,18738.0,17446,38984,386623.7532054795,1999
K55-K63 Other diseases of intestines,219219,109449,90720,109719,61.7,37.0,6.6,3.0,55,18639,98929,62482.0,63608,97425,792061.3793063014,1999
K65-K67 Diseases of peritoneum,6060,2911,3868,1863,94.9,51.0,10.7,7.0,54,241,3769,1725.0,1831,584,59578.44600328767,1999
K70-K77 Diseases of liver,19529,15642,11615,5053,32.0,16.0,11.6,7.0,53,434,17293,6886.0,2096,2888,196645.32315178085,1999
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",101389,44256,47910,48277,119.8,59.0,6.3,4.0,57,474,61827,34350.0,24735,6743,599567.49276,1999
K90-K93 Other diseases of the digestive system,50296,36104,34958,11493,45.2,26.0,6.6,3.0,58,2800,26861,16464.0,23085,11486,229178.8185419178,1999
L20-L30 Dermatitis and eczema,10063,5189,5338,3750,33.6,16.0,6.0,4.0,36,3615,3992,1561.0,1519,2382,44882.1243150685,1999
L40-L45 Papulosquamous disorders (including Psoriasis),11775,6061,1386,8296,34.1,10.0,13.2,11.0,48,366,8030,2762.0,841,6411,65657.79662630137,1999
L50-L54 Urticaria and erythems,4356,2160,3662,492,30.8,13.0,3.3,1.0,28,1941,2003,455.0,324,406,12957.666913972604,1999
"L00-L14, L55-L99 Other infections and disorders of the skin",218105,116033,80000,127985,78.8,45.0,7.7,3.0,47,19737,130886,42001.0,40285,110700,799986.3219301369,1999
M00-M25 Arthropathies,299754,138212,36031,247865,183.6,125.0,7.6,5.0,54,12792,147071,90971.0,57860,105517,1428111.3129863013,1999
M30-M36 Systemic connective tissue disorders,13851,4221,4245,6277,24.6,10.0,11.2,5.0,50,944,8588,3681.0,2327,5453,77947.81619383562,1999
M40-M54 Dorsopathies,141596,62307,29939,90173,85.0,49.0,7.0,4.0,53,2226,92720,32025.0,20408,79590,424340.00667123287,1999
M60-M79 Soft tissue disorders,118000,56694,38577,72180,140.6,85.0,3.1,1.0,52,5138,71009,29721.0,17183,48813,210238.09196,1999
M80-M94 Osteopathies and chondropathies,41596,19306,11256,23552,99.5,48.0,8.9,4.0,51,4772,19506,9067.0,10932,14488,237780.2628939726,1999
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,3863,2036,418,3194,193.1,133.0,6.8,2.0,42,156,2931,456.0,430,800,19397.615526301368,1999
"N00-N08, N10-N16 Diseases of the kidney",28141,15561,13150,10473,55.7,32.0,6.1,4.0,45,4135,16418,6950.0,4653,6788,128149.38608534247,1999
N17-N19 Renal failure,57930,41879,15336,8017,22.1,6.0,11.2,5.0,61,1886,23097,24466.0,19539,29590,293285.3432091781,1999
N20-N23 Urolithiasis,50308,38970,20630,25336,46.1,26.0,3.3,2.0,50,429,37973,12511.0,3982,18221,106998.20972876712,1999
N25-N29 Other disorders of kidney & ureter,3626,2224,1069,1958,46.2,24.0,5.8,3.0,48,605,1713,1113.0,616,800,16592.01230191781,1999
N30-N39 Other diseases of the urinary system,157061,72516,55881,85033,88.4,51.0,7.9,4.0,57,13857,61543,41530.0,55270,64747,719697.4452636986,1999
N40-N51 Diseases of male genital organs,114552,118655,22302,85943,103.0,59.0,3.6,2.0,48,22612,39242,34697.0,21989,54126,215611.63036931507,1999
N60-N64 Disorders of breast,30137,2921,2958,26462,71.9,25.0,2.2,2.0,44,336,25296,3651.0,1115,15436,32660.829419999995,1999
N70-N77 Inflammatory diseases of female pelvic organs,28073,0,12514,14459,76.9,46.0,2.7,1.0,36,274,26815,1204.0,684,9283,49977.460950136985,1999
N80-N98 Noninflammatory disorders of female genital tract,284838,0,29688,240237,79.5,45.0,3.3,2.0,44,1273,239135,32807.0,12056,156272,415825.3907671233,1999
N99 Other disorders of the genitourinary system,2840,1124,685,1902,102.9,60.0,6.3,4.0,53,175,1503,925.0,489,663,13370.844261369863,1999
O00-O08 Pregnancy with abortive outcome,171843,0,71005,85081,6.5,5.0,1.1,1.0,30,667,153464,3.0,4491,81908,96747.79085383563,1999
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",873340,0,70317,18423,8.9,1.0,2.1,1.0,28,594,885829,11.0,278,18619,1704283.3431342468,1999
O80-O84 Delivery,117281,0,648,581,18.8,3.0,2.2,2.0,28,56,117836,0.0,23,25,232227.20034082193,1999
P00-P04 Complications of fetus/neonate affected by maternal,12973,6654,83,6,188.5,188.0,3.2,2.0,0,13632,30,0.0,2,4,34979.260931506855,1999
P05- P96 Other conditions originating in the perinatal period,151911,95029,15377,2176,97.9,50.0,6.7,3.0,0,172577,365,104.0,93,1463,944499.2423347945,1999
Q00-Q89 Congenital malformations,91550,56980,9064,56154,129.6,76.0,4.7,2.0,11,76475,18306,2027.0,1077,26704,274853.11739616434,1999
Q90-Q99 Chromosomal abnormalities nec.,1307,750,246,434,57.8,31.0,23.4,3.0,13,1011,387,28.0,3,267,10345.467776301371,1999
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,250662,150643,202176,37320,73.3,32.0,3.2,1.0,54,24220,123555,78599.0,57767,27693,682243.6050747945,1999
R10-R19 Symptoms & signs inv. the digestive system & abdomen,317097,120242,187187,99782,52.5,34.0,3.4,2.0,44,36081,202679,59412.0,46547,96072,737429.6142279452,1999
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,24963,11975,14697,8477,70.7,35.0,2.2,1.0,34,8809,11356,3616.0,2314,5946,41222.7071630137,1999
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,19687,9410,8829,3001,42.4,21.0,21.4,9.0,52,5409,4092,3528.0,12471,1442,374939.4885676712,1999
R30-R39 Symptoms & signs involving the urinary system,114356,84120,33256,69524,58.2,37.0,4.6,3.0,61,3522,43312,39141.0,35943,66572,215237.36608931507,1999
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",28138,15234,24332,2022,43.4,21.0,11.1,4.0,67,1141,7466,7539.0,18209,1118,265975.5487282192,1999
R47-R49 Symptoms & signs inv. speech & voice,6603,3565,1472,4652,40.6,24.0,6.5,2.0,57,358,3151,2146.0,1582,2755,23031.47611958904,1999
R50-R68 General symptoms & signs,188399,98828,151262,24912,41.8,19.0,6.8,2.0,49,42733,65717,34611.0,72370,17133,1073566.8973150686,1999
R69 Unknown & unspecified causes of morbidity,238922,110747,86056,65726,65.7,26.0,21.7,3.0,45,40985,120526,45957.0,56294,46938,2388751.1852438357,1999
R70-R89 Abnormal findings of bodily fluids or samples without diag.,32289,5683,2371,23117,41.8,26.0,3.3,1.0,42,447,26318,4113.0,1919,27131,16572.813164657535,1999
R90-R94 Abnormal findings on diagnostic imaging/function studies,18441,11075,2691,12775,21.8,8.0,4.3,2.0,60,499,7535,7799.0,4140,10733,33577.88167232876,1999
R95-R99 Ill-defined & unknown causes of mortality,73,42,48,9,54.6,25.0,14.3,3.0,55,21,8,24.0,41,1,832.5170958904109,1999
S00-S09 Injuries to the head,123804,88577,103026,14598,15.5,4.0,3.1,1.0,32,38456,67584,8148.0,16233,10259,330909.30376,1999
S10-S19 Injuries to the neck,5912,4055,5124,211,56.3,13.0,9.2,2.0,39,665,4374,639.0,755,81,47937.33494479452,1999
S20-S29 Injuries to the thorax,12956,9160,12326,103,38.4,8.0,8.5,3.0,52,507,8039,2520.0,3696,26,96960.45349164384,1999
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",22892,12518,20884,479,65.1,16.0,10.8,5.0,50,3290,11207,2696.0,9129,186,241991.7801027397,1999
S40-S49 Injuries to the shoulder & upper arm,24392,13027,21990,1505,48.7,5.0,7.5,2.0,46,6549,8401,3613.0,8402,164,178374.7699890411,1999
S50-S59 Injuries to the elbow & forearm,60744,33460,55847,3133,13.2,1.0,3.1,1.0,33,26347,21098,7089.0,8842,957,178798.18207561644,1999
S60-S69 Injuries to the wrist & hand,59673,46275,50824,5050,27.8,3.0,1.6,1.0,32,9940,45098,3616.0,2553,2456,92354.77873972604,1999
S70-S79 Injuries to the hip & thigh,72035,22468,67072,1059,41.0,3.0,20.4,14.0,75,3324,7486,12847.0,59992,50,1413621.3509726026,1999
S80-S89 Injuries to the knee & lower leg,61474,35381,53800,5303,88.4,24.0,8.1,4.0,44,8035,36732,9286.0,11838,2113,475122.9252739726,1999
S90-S99 Injuries to the ankle & foot,11569,7423,10372,680,67.9,9.0,5.5,2.0,39,2207,7324,1296.0,1528,294,61947.252914383556,1999
